
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                   18232 Console                    3     16,640 K
Code.exe                      6596 Console                    3     16,104 K
svchost.exe                  20048 Services                   0      5,544 K
devenv.exe                   15168 Console                    3    616,956 K
PerfWatson2.exe              25980 Console                    3     41,552 K
ServiceHub.Host.Node.x86.    26536 Console                    3     21,120 K
conhost.exe                   3108 Console                    3      4,924 K
ServiceHub.VSDetouredHost    11300 Console                    3     48,648 K
InteractiveHost64.exe        24304 Console                    3     26,412 K
conhost.exe                  19732 Console                    3      4,780 K
ServiceHub.IdentityHost.e     3428 Console                    3     27,024 K
ServiceHub.RoslynCodeAnal    25468 Console                    3    120,060 K
ServiceHub.Host.CLR.x86.e    10908 Console                    3     60,040 K
ServiceHub.SettingsHost.e    25156 Console                    3     58,100 K
vstest.console.exe           10512 Console                    3     26,048 K
conhost.exe                  13940 Console                    3      4,796 K
dllhost.exe                  23916 Services                   0     11,160 K
chrome.exe                   12276 Console                    3     43,404 K
Microsoft.PythonTools.Att    21904 Console                    3      9,628 K
conhost.exe                   4636 Console                    3      4,812 K
ServiceHub.DataWarehouseH     1396 Console                    3     47,812 K
dllhost.exe                  15852 Console                    3     14,324 K
devenv.exe                   25732 Console                    3    654,004 K
PerfWatson2.exe               2356 Console                    3     54,564 K
InteractiveHost64.exe        24148 Console                    3     26,720 K
conhost.exe                   7656 Console                    3      4,840 K
ServiceHub.RoslynCodeAnal    16188 Console                    3    113,164 K
Microsoft.PythonTools.Att    10836 Console                    3     13,936 K
conhost.exe                   4800 Console                    3      4,792 K
vstest.console.exe           24512 Console                    3     25,640 K
conhost.exe                  16872 Console                    3      4,848 K
mmc.exe                      25728 Console                    3     45,460 K
ScriptedSandbox64.exe         9132 Console                    3     35,192 K
notepad.exe                  15200 Console                    3     12,944 K
chrome.exe                   24220 Console                    3     99,668 K
Taskmgr.exe                  10604 Console                    3     60,468 K
fabric.exe                   25464 Services                   0    220,660 K
fabric.exe                   14124 Console                    3     88,592 K
ScriptedSandbox64.exe        16240 Console                    3    102,748 K
chrome.exe                   24080 Console                    3     78,972 K
svchost.exe                  17616 Services                   0      5,604 K
SystemSettings.exe           16900 Console                    3     47,628 K
svchost.exe                  19728 Services                   0     19,132 K
audiodg.exe                  26000 Services                   0     14,984 K
chrome.exe                   17328 Console                    3     90,624 K
less.exe                     13696 Console                    3      5,300 K
chrome.exe                   21616 Console                    3     87,464 K
chrome.exe                    2504 Console                    3     23,108 K
SearchProtocolHost.exe       11804 Services                   0     11,952 K
SearchFilterHost.exe         20192 Services                   0      6,208 K
bash.exe                      8924 Console                    3      5,912 K
tasklist.exe                  8036 Console                    3      7,652 K
